host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12,prop.gp.13,prop.gp.14,prop.gp.15,prop.gp.16,prop.gp.17,prop.gp.18
AO10,1500_to_1599,1549.5,3,3,2,2,4.333333333333333e-6,1e-6,5.999999999999999e-6,6.999999999999999e-6,5.333333333333333e-6,2e-6,4.333333333333333e-6,1e-6,5.999999999999999e-6,6.999999999999999e-6,5.333333333333333e-6,2e-6,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AO11,1500_to_1599,1549.5,49,49,8,13,0.1696324693877551,0.018039600000000003,0.086409,0.290433,0.07820105102040817,0.03298104102564103,0.1696324693877551,0.018039600000000003,0.086409,0.290433,0.07820105102040817,0.03298104102564103,0.8163265306122449,0.04081632653061224,0.04081632653061224,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0,0,0,0,0,0,0,0,0,0
AO6,1500_to_1599,1549.5,37,37,3,25,0.08439978378378377,0.0663542727272727,0.074275,0.27618000000000004,0.10261122522522523,0.08162885984848485,0.08439978378378377,0.0663542727272727,0.074275,0.27618000000000004,0.10261122522522523,0.08162885984848485,0.8918918918918919,0.08108108108108109,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AO9,1500_to_1599,1549.5,16,16,1,1,0.003650625,0.003650625,0.013573,0.022575999999999995,0.006925349999999999,0.006925349999999999,0.003650625,0.003650625,0.013573,0.022575999999999995,0.006925349999999999,0.006925349999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQ13,1500_to_1599,1549.5,5,5,4,5,0.012811400000000004,1.5e-6,0.027439000000000005,0.0366,0.020132000000000004,3e-6,0.012811400000000004,1.5e-6,0.027439000000000005,0.0366,0.020132000000000004,3e-6,0.4,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQ16,1500_to_1599,1549.5,8,8,2,2,0.05424337500000001,0.017689142857142858,0.08928100000000001,0.11678100000000002,0.03812246428571429,0.015173238095238094,0.05424337500000001,0.017689142857142858,0.08928100000000001,0.11678100000000002,0.03812246428571429,0.015173238095238094,0.875,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQ25,1500_to_1599,1549.5,11,11,2,4,0.047552363636363636,0.009238833333333333,0.055149000000000004,0.087549,0.04697243636363636,0.013546466666666665,0.047552363636363636,0.009238833333333333,0.055149000000000004,0.087549,0.04697243636363636,0.013546466666666665,0.5454545454545454,0.45454545454545453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQ28,1500_to_1599,1549.5,4,4,4,4,0.0183,0,0.027457000000000002,0.03204800000000001,0.018319666666666668,NA,0.0183,0,0.027457000000000002,0.03204800000000001,0.018319666666666668,NA,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQ4,1500_to_1599,1549.5,32,32,2,22,0.024381875,0.024135,0.023038,0.073488,0.03311318548387097,0.03338633548387097,0.024381875,0.024135,0.023038,0.073488,0.03311318548387097,0.03338633548387097,0.96875,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQ6,1500_to_1599,1549.5,2,2,1,1,0.0092245,0.0092245,0.018449,0.018449,0.018449,0.018449,0.0092245,0.0092245,0.018449,0.018449,0.018449,0.018449,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
