dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SIR01_sl1000_mr075_nv10_13,1.0,0.286,0.444,0.6,0.429,0.5,0.643,0.643,0.643,0.778,0.5,0.609,1.0,0.429,0.6
SIR01_sl1000_mr075_nv10_14,1.0,0.571,0.727,1.0,0.714,0.833,0.857,0.857,0.857,0.857,0.857,0.857,1.0,1.0,1.0
SIR01_sl1000_mr075_nv10_15,1.0,0.667,0.8,1.0,0.5,0.667,0.833,0.833,0.833,0.833,0.833,0.833,1.0,0.667,0.8
SIR01_sl1000_mr075_nv10_16,1.0,0.611,0.759,0.8,0.667,0.727,0.895,0.944,0.919,0.895,0.944,0.919,0.833,0.833,0.833
SIR01_sl1000_mr075_nv10_17,0.971,0.465,0.629,0.784,0.563,0.656,0.746,0.746,0.746,0.824,0.592,0.689,0.927,0.535,0.679
SIR01_sl1000_mr075_nv10_18,1.0,0.818,0.9,0.9,0.818,0.857,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909
SIR01_sl1000_mr075_nv10_19,1.0,0.273,0.429,0.429,0.273,0.333,0.545,0.545,0.545,0.8,0.364,0.5,0.75,0.273,0.4
SIR01_sl1000_mr075_nv10_2,1.0,0.545,0.706,1.0,0.455,0.625,0.727,0.727,0.727,1.0,0.636,0.778,1.0,0.727,0.842
SIR01_sl1000_mr075_nv10_20,1.0,0.533,0.696,0.75,0.7,0.724,0.719,0.767,0.742,0.808,0.7,0.75,0.84,0.7,0.764
SIR01_sl1000_mr075_nv10_3,1.0,0.364,0.533,0.545,0.545,0.545,0.636,0.636,0.636,0.625,0.455,0.526,0.833,0.455,0.588
SIR01_sl1000_mr075_nv10_4,0.9,0.474,0.621,0.897,0.684,0.776,0.821,0.842,0.831,0.811,0.789,0.8,0.921,0.921,0.921
