dataset,phy_tp,phy_fp,phy_fn,tnet_tp,tnet_fp,tnet_fn,tnet_50_tp,tnet_50_fp,tnet_50_fn,tnet_80_tp,tnet_80_fp,tnet_80_fn,tnet_100_tp,tnet_100_fp,tnet_100_fn
SEIR01_sl1000_mr0125_nv10_8,3,0,3,6,0,0,6,0,0,6,0,0,6,0,0
SEIR01_sl1000_mr0125_nv10_9,33,0,14,47,0,0,45,1,2,45,0,2,45,0,2
SEIR01_sl1000_mr025_nv10_1,17,0,11,28,0,0,28,0,0,28,0,0,28,0,0
SEIR01_sl1000_mr025_nv10_10,7,0,2,9,0,0,9,0,0,9,0,0,9,0,0
SEIR01_sl1000_mr025_nv10_11,24,0,11,30,5,5,30,5,5,29,3,6,29,1,6
SEIR01_sl1000_mr025_nv10_12,6,0,2,7,1,1,7,1,1,6,1,2,6,1,2
SEIR01_sl1000_mr025_nv10_13,5,0,15,17,3,3,17,3,3,16,1,4,16,0,4
SEIR01_sl1000_mr025_nv10_14,23,0,11,34,0,0,33,1,1,32,1,2,32,0,2
SEIR01_sl1000_mr025_nv10_15,8,0,2,10,0,0,10,0,0,10,0,0,10,0,0
SEIR01_sl1000_mr025_nv10_16,24,0,18,38,4,4,36,3,6,34,1,8,33,0,9
SEIR01_sl1000_mr025_nv10_17,32,0,13,42,3,3,41,4,4,40,1,5,37,1,8
SEIR01_sl1000_mr025_nv10_18,7,0,2,9,0,0,9,0,0,9,0,0,9,0,0
SEIR01_sl1000_mr025_nv10_19,42,0,17,55,4,4,58,2,1,54,1,5,52,1,7
SEIR01_sl1000_mr025_nv10_2,17,0,5,21,1,1,21,1,1,21,1,1,21,1,1
SEIR01_sl1000_mr025_nv10_20,14,0,3,15,2,2,17,0,0,17,0,0,17,0,0
SEIR01_sl1000_mr025_nv10_3,38,0,11,48,1,1,47,2,2,45,0,4,45,0,4
SEIR01_sl1000_mr025_nv10_4,35,0,17,48,4,4,48,4,4,47,1,5,45,1,7
SEIR01_sl1000_mr025_nv10_5,34,0,10,39,5,5,38,6,6,37,1,7,37,1,7
SEIR01_sl1000_mr025_nv10_6,4,0,3,6,1,1,6,1,1,6,1,1,6,1,1
SEIR01_sl1000_mr025_nv10_7,31,0,9,37,3,3,38,2,2,34,1,6,34,1,6
SEIR01_sl1000_mr025_nv10_8,22,0,5,27,0,0,24,1,3,24,0,3,24,0,3
SEIR01_sl1000_mr025_nv10_9,32,0,15,43,4,4,45,2,2,39,0,8,39,0,8
SEIR01_sl1000_mr025_nv20_1,24,0,8,32,0,0,32,0,0,31,0,1,31,0,1
SEIR01_sl1000_mr025_nv20_10,6,0,3,9,0,0,9,0,0,9,0,0,9,0,0
SEIR01_sl1000_mr025_nv20_11,4,0,1,5,0,0,5,0,0,5,0,0,5,0,0
SEIR01_sl1000_mr025_nv20_12,14,0,4,16,2,2,18,0,0,16,0,2,16,0,2
SEIR01_sl1000_mr025_nv20_13,44,0,14,54,4,4,53,3,5,51,2,7,51,0,7
SEIR01_sl1000_mr025_nv20_14,12,0,1,13,0,0,12,1,1,12,0,1,12,0,1
SEIR01_sl1000_mr025_nv20_15,16,0,7,22,1,1,22,1,1,21,0,2,21,0,2
SEIR01_sl1000_mr025_nv20_16,5,0,2,7,0,0,7,0,0,7,0,0,7,0,0
SEIR01_sl1000_mr025_nv20_17,22,0,3,25,0,0,25,0,0,25,0,0,25,0,0
SEIR01_sl1000_mr025_nv20_18,26,0,0,26,0,0,26,0,0,26,0,0,26,0,0
SEIR01_sl1000_mr025_nv20_19,50,0,3,53,0,0,53,0,0,52,0,1,52,0,1
SEIR01_sl1000_mr025_nv20_2,30,0,12,42,0,0,42,0,0,42,0,0,42,0,0
SEIR01_sl1000_mr025_nv20_20,19,0,12,29,2,2,28,1,3,27,0,4,25,0,6
SEIR01_sl1000_mr025_nv20_3,14,0,7,21,0,0,21,0,0,21,0,0,21,0,0
SEIR01_sl1000_mr025_nv20_4,7,0,1,8,0,0,8,0,0,8,0,0,8,0,0
SEIR01_sl1000_mr025_nv20_5,28,0,5,30,3,3,30,2,3,29,1,4,29,1,4
SEIR01_sl1000_mr025_nv20_6,10,0,1,11,0,0,11,0,0,11,0,0,11,0,0
SEIR01_sl1000_mr025_nv20_7,10,0,7,16,1,1,16,1,1,15,1,2,15,1,2
SEIR01_sl1000_mr025_nv20_8,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0
SEIR01_sl1000_mr025_nv20_9,11,0,1,12,0,0,12,0,0,12,0,0,12,0,0
SEIR01_sl1000_mr025_nv5_1,26,0,15,34,7,7,31,5,10,29,4,12,29,3,12
SEIR01_sl1000_mr025_nv5_10,11,0,22,26,7,7,32,1,1,23,1,10,22,1,11
SEIR01_sl1000_mr025_nv5_11,12,0,7,14,5,5,14,2,5,14,0,5,14,0,5
SEIR01_sl1000_mr025_nv5_12,9,0,10,17,2,2,18,1,1,15,1,4,13,1,6
SEIR01_sl1000_mr025_nv5_13,9,0,3,12,0,0,12,0,0,11,0,1,11,0,1
SEIR01_sl1000_mr025_nv5_14,16,0,4,18,2,2,19,1,1,18,0,2,18,0,2
SEIR01_sl1000_mr025_nv5_15,17,0,10,24,3,3,24,3,3,22,1,5,22,1,5
SEIR01_sl1000_mr025_nv5_16,13,0,5,16,2,2,17,1,1,16,1,2,16,1,2
SEIR01_sl1000_mr025_nv5_17,7,0,4,11,0,0,11,0,0,11,0,0,11,0,0
SEIR01_sl1000_mr025_nv5_18,30,0,17,43,4,4,42,5,5,42,2,5,38,1,9
SEIR01_sl1000_mr025_nv5_19,39,0,19,51,7,7,50,7,8,49,3,9,49,1,9
SEIR01_sl1000_mr025_nv5_2,10,0,6,16,0,0,15,1,1,15,0,1,15,0,1
SEIR01_sl1000_mr025_nv5_20,16,0,8,20,4,4,21,3,3,19,2,5,19,1,5
SEIR01_sl1000_mr025_nv5_3,9,0,1,10,0,0,10,0,0,10,0,0,10,0,0
SEIR01_sl1000_mr025_nv5_4,29,0,21,43,7,7,41,6,9,40,3,10,39,1,11
SEIR01_sl1000_mr025_nv5_5,20,0,31,37,14,14,34,10,17,32,5,19,31,2,20
SEIR01_sl1000_mr025_nv5_6,3,0,5,6,2,2,5,3,3,5,2,3,5,2,3
SEIR01_sl1000_mr025_nv5_7,7,0,3,10,0,0,10,0,0,10,0,0,10,0,0
SEIR01_sl1000_mr025_nv5_8,16,0,7,21,2,2,22,1,1,21,0,2,21,0,2
SEIR01_sl1000_mr025_nv5_9,3,0,6,7,2,2,7,2,2,7,0,2,7,0,2
SEIR01_sl1000_mr05_nv10_1,6,0,7,12,1,1,12,1,1,11,0,2,11,0,2
SEIR01_sl1000_mr05_nv10_10,6,0,1,7,0,0,7,0,0,6,0,1,6,0,1
SEIR01_sl1000_mr05_nv10_11,23,0,9,28,4,4,29,2,3,28,1,4,28,1,4
SEIR01_sl1000_mr05_nv10_12,42,0,16,54,4,4,55,3,3,51,2,7,51,2,7
SEIR01_sl1000_mr05_nv10_13,3,0,5,7,1,1,8,0,0,7,0,1,7,0,1
SEIR01_sl1000_mr05_nv10_14,24,0,15,35,4,4,32,5,7,29,0,10,27,0,12
SEIR01_sl1000_mr05_nv10_15,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0
SEIR01_sl1000_mr05_nv10_16,21,0,1,22,0,0,22,0,0,22,0,0,22,0,0
SEIR01_sl1000_mr05_nv10_17,14,0,8,20,2,2,19,3,3,18,1,4,18,1,4
SEIR01_sl1000_mr05_nv10_18,44,0,12,50,6,6,54,2,2,50,2,6,50,2,6
SEIR01_sl1000_mr05_nv10_19,4,0,3,6,1,1,6,1,1,5,1,2,5,1,2
SEIR01_sl1000_mr05_nv10_2,7,0,1,8,0,0,8,0,0,7,0,1,7,0,1
SEIR01_sl1000_mr05_nv10_20,38,0,14,49,3,3,50,1,2,45,0,7,45,0,7
SEIR01_sl1000_mr05_nv10_3,11,0,14,23,2,2,22,3,3,20,0,5,18,0,7
SEIR01_sl1000_mr05_nv10_4,8,0,3,8,3,3,10,1,1,10,0,1,8,0,3
SEIR01_sl1000_mr05_nv10_5,15,0,3,18,0,0,17,1,1,17,0,1,17,0,1
SEIR01_sl1000_mr05_nv10_6,24,0,16,36,4,4,38,1,2,36,1,4,35,1,5
SEIR01_sl1000_mr05_nv10_7,33,0,13,41,5,5,42,2,4,41,1,5,39,1,7
SEIR01_sl1000_mr05_nv10_8,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0
SEIR01_sl1000_mr05_nv10_9,18,0,8,23,3,3,26,0,0,24,0,2,22,0,4
SEIR01_sl250_mr025_nv10_1,24,0,21,35,10,10,35,8,10,34,2,11,34,2,11
SEIR01_sl250_mr025_nv10_10,10,0,7,14,3,3,14,1,3,13,0,4,13,0,4
SEIR01_sl250_mr025_nv10_11,10,0,6,14,2,2,16,0,0,16,0,0,14,0,2
SEIR01_sl250_mr025_nv10_12,30,0,13,38,5,5,40,3,3,38,3,5,37,1,6
SEIR01_sl250_mr025_nv10_13,4,0,2,4,2,2,5,1,1,4,0,2,4,0,2
SEIR01_sl250_mr025_nv10_14,33,0,13,39,7,7,38,4,8,37,0,9,37,0,9
SEIR01_sl250_mr025_nv10_15,6,0,1,7,0,0,7,0,0,7,0,0,7,0,0
SEIR01_sl250_mr025_nv10_16,28,0,18,40,6,6,39,7,7,37,1,9,37,0,9
SEIR01_sl250_mr025_nv10_17,5,0,3,8,0,0,8,0,0,5,0,3,5,0,3
SEIR01_sl250_mr025_nv10_18,24,0,8,32,0,0,29,1,3,28,0,4,28,0,4
SEIR01_sl250_mr025_nv10_19,6,0,6,10,2,2,10,2,2,10,2,2,10,2,2
SEIR01_sl250_mr025_nv10_2,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0
SEIR01_sl250_mr025_nv10_20,14,0,4,18,0,0,18,0,0,18,0,0,18,0,0
SEIR01_sl250_mr025_nv10_3,20,0,7,25,2,2,26,1,1,26,1,1,25,1,2
SEIR01_sl250_mr025_nv10_4,12,0,2,14,0,0,14,0,0,14,0,0,14,0,0
