dataset,phy_f1,tnet_f1,tnet_50_f1,tnet_80_f1,tnet_100_f1
SIR003_sl1000_mr05_nv5_10,0.677,0.805,0.815,0.816,0.795
SIR003_sl1000_mr05_nv5_11,0.571,0.661,0.724,0.714,0.685
SIR003_sl1000_mr05_nv5_12,0.909,1.0,1.0,0.909,0.909
SIR003_sl1000_mr05_nv5_13,0.706,0.87,0.87,0.87,0.87
SIR003_sl1000_mr05_nv5_14,0.571,0.69,0.655,0.654,0.654
SIR003_sl1000_mr05_nv5_15,0.607,0.774,0.816,0.776,0.752
SIR003_sl1000_mr05_nv5_16,0.286,0.667,0.667,0.667,0.667
SIR003_sl1000_mr05_nv5_17,0.5,0.604,0.632,0.644,0.642
SIR003_sl1000_mr05_nv5_18,0.609,0.75,0.75,0.774,0.774
SIR003_sl1000_mr05_nv5_19,0.52,0.551,0.545,0.54,0.576
SIR003_sl1000_mr05_nv5_2,0.353,0.583,0.667,0.609,0.609
SIR003_sl1000_mr05_nv5_20,0.632,0.769,0.769,0.75,0.75
SIR003_sl1000_mr05_nv5_3,0.545,0.625,0.75,0.75,0.75
SIR003_sl1000_mr05_nv5_4,0.88,0.857,0.846,0.846,0.88
SIR003_sl1000_mr05_nv5_5,0.625,0.818,0.8,0.842,0.778
SIR003_sl1000_mr05_nv5_6,0.4,0.455,0.476,0.5,0.556
SIR003_sl1000_mr05_nv5_7,0.558,0.564,0.596,0.594,0.622
SIR003_sl1000_mr05_nv5_8,0.471,0.471,0.489,0.55,0.526
SIR003_sl1000_mr05_nv5_9,0.526,0.52,0.542,0.565,0.591
SIR003_sl1000_mr1_nv10_1,0.64,0.706,0.765,0.71,0.667
SIR003_sl1000_mr1_nv10_10,0.526,0.455,0.5,0.526,0.526
SIR003_sl1000_mr1_nv10_11,0.75,0.7,0.7,0.737,0.706
SIR003_sl1000_mr1_nv10_12,0.6,0.571,0.593,0.612,0.612
SIR003_sl1000_mr1_nv10_13,0.182,0.167,0.167,0.167,0.167
SIR003_sl1000_mr1_nv10_14,0.702,0.75,0.743,0.746,0.769
SIR003_sl1000_mr1_nv10_15,0.471,0.636,0.636,0.636,0.636
SIR003_sl1000_mr1_nv10_16,0.606,0.537,0.541,0.606,0.606
SIR003_sl1000_mr1_nv10_17,0.667,0.75,0.75,0.75,0.742
SIR003_sl1000_mr1_nv10_18,0.625,0.727,0.75,0.774,0.828
SIR003_sl1000_mr1_nv10_19,0.653,0.656,0.63,0.661,0.673
SIR003_sl1000_mr1_nv10_2,0.568,0.693,0.694,0.69,0.673
SIR003_sl1000_mr1_nv10_20,0.673,0.652,0.681,0.704,0.704
SIR003_sl1000_mr1_nv10_3,0.737,0.739,0.783,0.744,0.744
SIR003_sl1000_mr1_nv10_4,0.766,0.724,0.772,0.741,0.741
SIR003_sl1000_mr1_nv10_5,0.714,0.556,0.667,0.714,0.714
SIR003_sl1000_mr1_nv10_6,0.723,0.733,0.759,0.76,0.76
SIR003_sl1000_mr1_nv10_7,0.769,0.625,0.75,0.714,0.714
SIR003_sl1000_mr1_nv10_8,0.737,0.714,0.735,0.806,0.806
SIR003_sl1000_mr1_nv10_9,0.8,0.889,0.667,0.667,0.8
SIR003_sl250_mr05_nv10_1,0.596,0.588,0.588,0.576,0.557
SIR003_sl250_mr05_nv10_10,0.562,0.55,0.55,0.564,0.564
SIR003_sl250_mr05_nv10_11,0.316,0.519,0.417,0.316,0.316
SIR003_sl250_mr05_nv10_12,0.571,0.593,0.538,0.56,0.583
SIR003_sl250_mr05_nv10_13,0,0.133,0.267,0.167,0.167
SIR003_sl250_mr05_nv10_14,0.615,0.75,0.75,0.75,0.75
SIR003_sl250_mr05_nv10_15,0.667,0.875,0.875,0.875,0.875
SIR003_sl250_mr05_nv10_16,0.556,0.522,0.609,0.571,0.571
SIR003_sl250_mr05_nv10_17,0.625,0.645,0.602,0.621,0.643
SIR003_sl250_mr05_nv10_18,0.591,0.63,0.654,0.68,0.625
SIR003_sl250_mr05_nv10_19,0.324,0.364,0.291,0.28,0.286
SIR003_sl250_mr05_nv10_2,0.667,0.714,0.714,0.692,0.692
SIR003_sl250_mr05_nv10_20,0.478,0.598,0.621,0.575,0.564
SIR003_sl250_mr05_nv10_3,0.737,0.818,0.818,0.81,0.78
SIR003_sl250_mr05_nv10_4,0.762,0.8,0.8,0.8,0.8
SIR003_sl250_mr05_nv10_5,0.683,0.773,0.711,0.711,0.762
SIR003_sl250_mr05_nv10_6,0.643,0.746,0.697,0.698,0.746
SIR003_sl250_mr05_nv10_7,0.474,0.48,0.485,0.505,0.511
SIR003_sl250_mr05_nv10_8,0.538,0.571,0.571,0.571,0.588
SIR003_sl250_mr05_nv10_9,0.429,0.4,0.3,0.375,0.4
SIR003_sl500_mr05_nv10_1,0.667,0.857,0.714,0.714,0.769
SIR003_sl500_mr05_nv10_10,0.462,0.532,0.623,0.533,0.5
SIR003_sl500_mr05_nv10_11,0.286,0.833,0.833,0.833,0.833
SIR003_sl500_mr05_nv10_12,0.651,0.667,0.654,0.708,0.681
SIR003_sl500_mr05_nv10_13,0.701,0.708,0.717,0.716,0.716
SIR003_sl500_mr05_nv10_14,0.63,0.667,0.667,0.678,0.69
SIR003_sl500_mr05_nv10_15,0.848,0.842,0.842,0.865,0.865
SIR003_sl500_mr05_nv10_16,0.333,0.48,0.538,0.56,0.455
SIR003_sl500_mr05_nv10_17,0.625,0.667,0.667,0.737,0.737
SIR003_sl500_mr05_nv10_18,0.762,0.846,0.846,0.846,0.846
SIR003_sl500_mr05_nv10_19,0.614,0.633,0.598,0.607,0.6
SIR003_sl500_mr05_nv10_2,0.793,0.794,0.765,0.788,0.788
SIR003_sl500_mr05_nv10_20,0.545,0.625,0.5,0.571,0.571
SIR003_sl500_mr05_nv10_3,0.792,0.759,0.759,0.764,0.764
SIR003_sl500_mr05_nv10_4,0.683,0.679,0.706,0.667,0.667
SIR003_sl500_mr05_nv10_5,0.889,0.9,0.9,0.9,0.9
SIR003_sl500_mr05_nv10_6,0.625,0.762,0.762,0.737,0.757
SIR003_sl500_mr05_nv10_7,0.686,0.718,0.718,0.718,0.718
SIR003_sl500_mr05_nv10_8,0.583,0.6,0.8,0.8,0.759
SIR003_sl500_mr05_nv10_9,0.6,0.857,0.857,0.857,0.857
SIR01_sl1000_mr075_nv10_1,0.711,0.825,0.86,0.826,0.833
SIR01_sl1000_mr075_nv10_10,0.667,0.75,0.75,0.714,0.714
SIR01_sl1000_mr075_nv10_11,0.833,1.0,1.0,1.0,1.0
SIR01_sl1000_mr075_nv10_12,0.76,0.833,0.862,0.877,0.877
SIR01_sl1000_mr075_nv10_13,0.444,0.643,0.643,0.609,0.609
SIR01_sl1000_mr075_nv10_14,0.727,0.571,0.571,0.571,0.571
SIR01_sl1000_mr075_nv10_15,0.8,0.833,0.833,0.833,0.833
SIR01_sl1000_mr075_nv10_16,0.69,0.865,0.865,0.865,0.914
SIR01_sl1000_mr075_nv10_17,0.61,0.727,0.691,0.672,0.667
SIR01_sl1000_mr075_nv10_18,0.9,0.909,0.818,0.818,0.857
SIR01_sl1000_mr075_nv10_19,0.429,0.364,0.5,0.5,0.5
SIR01_sl1000_mr075_nv10_2,0.706,0.545,0.6,0.667,0.667
SIR01_sl1000_mr075_nv10_20,0.652,0.581,0.655,0.679,0.679
SIR01_sl1000_mr075_nv10_3,0.533,0.545,0.5,0.526,0.526
SIR01_sl1000_mr075_nv10_4,0.621,0.805,0.805,0.773,0.74
SIR01_sl1000_mr075_nv10_5,0.731,0.738,0.774,0.807,0.821
SIR01_sl1000_mr075_nv10_6,0.4,0.75,0.75,0.75,0.75
SIR01_sl1000_mr075_nv10_7,0.769,0.833,0.833,0.851,0.864
SIR01_sl1000_mr075_nv10_8,0.609,0.625,0.69,0.667,0.667
SIR01_sl1000_mr075_nv10_9,0.683,0.667,0.667,0.723,0.723
SIR01_sl1000_mr15_nv10_10,0.692,0.75,0.75,0.737,0.75
SIR01_sl1000_mr15_nv10_11,0.667,0.667,0.667,0.7,0.7
SIR01_sl1000_mr15_nv10_12,0.545,0.708,0.75,0.744,0.714
SIR01_sl1000_mr15_nv10_14,1.0,1.0,1.0,1.0,1.0
SIR01_sl1000_mr15_nv10_15,0.367,0.545,0.486,0.54,0.54
SIR01_sl1000_mr15_nv10_16,0.727,0.857,0.857,0.857,0.857
SIR01_sl1000_mr15_nv10_17,0.71,0.9,0.85,0.865,0.857
SIR01_sl1000_mr15_nv10_18,0.722,0.686,0.729,0.727,0.746
SIR01_sl1000_mr15_nv10_19,0.8,0.889,0.889,0.889,0.889
SIR01_sl1000_mr15_nv10_20,0.667,0.778,0.778,0.778,0.778
SIR01_sl1000_mr15_nv10_3,0.784,0.75,0.817,0.818,0.815
SIR01_sl1000_mr15_nv10_5,0.75,0.9,0.9,0.889,0.889
SIR01_sl1000_mr15_nv10_6,0.4,1.0,1.0,1.0,1.0
SIR01_sl1000_mr15_nv10_7,0.692,0.68,0.758,0.727,0.727
SIR01_sl1000_mr15_nv10_8,0.75,0.7,0.8,0.75,0.75
SIR01_sl1000_mr15_nv10_9,0.444,0.714,0.667,0.667,0.7
SIR01_sl1000_mr15_nv20_1,0.64,0.719,0.742,0.786,0.741
SIR01_sl1000_mr15_nv20_10,0.762,0.769,0.769,0.769,0.75
SIR01_sl1000_mr15_nv20_11,0.83,0.824,0.84,0.842,0.832
SIR01_sl1000_mr15_nv20_12,0.636,0.6,0.621,0.72,0.667
SIR01_sl1000_mr15_nv20_13,0.8,0.833,0.833,0.833,0.833
SIR01_sl1000_mr15_nv20_14,0.444,0.4,0.4,0.4,0.4
SIR01_sl1000_mr15_nv20_15,0.4,0.429,0.429,0.4,0.4
SIR01_sl1000_mr15_nv20_16,0.895,0.905,0.878,0.9,0.9
SIR01_sl1000_mr15_nv20_17,0.727,0.714,0.714,0.714,0.714
SIR01_sl1000_mr15_nv20_18,0.909,0.933,0.9,0.912,0.912
SIR01_sl1000_mr15_nv20_19,0.848,0.843,0.918,0.896,0.896
SIR01_sl1000_mr15_nv20_2,0.571,0.6,0.533,0.533,0.533
SIR01_sl1000_mr15_nv20_20,0.783,0.786,0.786,0.786,0.786
SIR01_sl1000_mr15_nv20_3,0.571,0.8,0.8,0.571,0.571
SIR01_sl1000_mr15_nv20_4,0.679,0.754,0.756,0.787,0.784
SIR01_sl1000_mr15_nv20_5,0.667,0.7,0.7,0.7,0.7
SIR01_sl1000_mr15_nv20_6,0.769,0.875,0.824,0.875,0.875
SIR01_sl1000_mr15_nv20_7,0.756,0.786,0.821,0.778,0.778
SIR01_sl1000_mr15_nv20_8,0.805,0.771,0.813,0.818,0.818
SIR01_sl1000_mr15_nv20_9,0.744,0.679,0.776,0.756,0.756
SIR01_sl1000_mr15_nv5_1,0.619,0.607,0.704,0.68,0.68
SIR01_sl1000_mr15_nv5_10,0.842,0.727,0.727,0.842,0.842
SIR01_sl1000_mr15_nv5_11,0.364,0.667,0.667,0.625,0.625
SIR01_sl1000_mr15_nv5_12,0.649,0.478,0.571,0.537,0.55
SIR01_sl1000_mr15_nv5_13,0.667,0.812,0.812,0.812,0.812
SIR01_sl1000_mr15_nv5_14,0.588,0.711,0.727,0.632,0.629
SIR01_sl1000_mr15_nv5_15,0.686,0.711,0.764,0.69,0.716
SIR01_sl1000_mr15_nv5_16,0.5,0.444,0.444,0.462,0.462
SIR01_sl1000_mr15_nv5_17,0.769,0.875,0.875,0.875,0.875
SIR01_sl1000_mr15_nv5_18,0.615,0.667,0.667,0.8,0.8
SIR01_sl1000_mr15_nv5_19,0.5,0.667,0.585,0.579,0.579
SIR01_sl1000_mr15_nv5_2,0.52,0.657,0.6,0.645,0.623
SIR01_sl1000_mr15_nv5_20,0.5,0.706,0.706,0.69,0.69
SIR01_sl1000_mr15_nv5_3,0.182,0.444,0.5,0.533,0.462
SIR01_sl1000_mr15_nv5_4,0.438,0.32,0.511,0.524,0.513
SIR01_sl1000_mr15_nv5_5,0.429,0.727,0.636,0.636,0.7
SIR01_sl1000_mr15_nv5_6,0.647,0.522,0.636,0.611,0.611
SIR01_sl1000_mr15_nv5_7,0.667,0.375,0.533,0.545,0.545
SIR01_sl1000_mr15_nv5_8,0.4,0.375,0.375,0.462,0.5
SIR01_sl1000_mr15_nv5_9,0.567,0.617,0.629,0.641,0.641
SIR01_sl1000_mr3_nv10_1,0.681,0.852,0.833,0.764,0.764
SIR01_sl1000_mr3_nv10_10,0.8,1.0,0.778,0.875,0.8
SIR01_sl1000_mr3_nv10_11,0.602,0.684,0.727,0.758,0.758
SIR01_sl1000_mr3_nv10_12,0.667,0.638,0.697,0.71,0.71
SIR01_sl1000_mr3_nv10_13,0.702,0.639,0.725,0.667,0.678
SIR01_sl1000_mr3_nv10_14,0.75,0.807,0.857,0.873,0.873
SIR01_sl1000_mr3_nv10_15,0.333,0.556,0.353,0.462,0.462
SIR01_sl1000_mr3_nv10_16,0.755,0.812,0.8,0.793,0.793
SIR01_sl1000_mr3_nv10_17,0.706,0.8,0.8,0.8,0.8
SIR01_sl1000_mr3_nv10_18,0.737,0.792,0.809,0.783,0.791
SIR01_sl1000_mr3_nv10_19,0.605,0.492,0.475,0.553,0.558
SIR01_sl1000_mr3_nv10_2,0.714,0.778,0.778,0.778,0.778
SIR01_sl1000_mr3_nv10_20,0.588,0.833,0.75,0.727,0.727
SIR01_sl1000_mr3_nv10_3,0.667,0.7,0.7,0.7,0.703
SIR01_sl1000_mr3_nv10_4,0.588,0.917,0.917,0.818,0.818
SIR01_sl1000_mr3_nv10_5,0.682,0.75,0.741,0.755,0.706
SIR01_sl1000_mr3_nv10_6,0.61,0.556,0.561,0.619,0.602
SIR01_sl1000_mr3_nv10_7,0.606,0.652,0.711,0.711,0.667
SIR01_sl1000_mr3_nv10_8,0.75,0.7,0.75,0.75,0.75
SIR01_sl1000_mr3_nv10_9,0.682,0.621,0.692,0.696,0.711
SIR01_sl250_mr15_nv10_1,0.533,0.556,0.606,0.6,0.6
SIR01_sl250_mr15_nv10_10,0.554,0.5,0.53,0.556,0.577
SIR01_sl250_mr15_nv10_11,0.55,0.48,0.48,0.511,0.545
SIR01_sl250_mr15_nv10_12,0.485,0.605,0.571,0.579,0.579
SIR01_sl250_mr15_nv10_13,0.421,0.483,0.462,0.48,0.5
SIR01_sl250_mr15_nv10_14,0.462,0.412,0.4,0.424,0.375
SIR01_sl250_mr15_nv10_15,0.364,0.444,0.5,0.364,0.364
SIR01_sl250_mr15_nv10_16,0.564,0.612,0.571,0.542,0.578
SIR01_sl250_mr15_nv10_17,0.933,0.857,0.857,0.857,0.857
SIR01_sl250_mr15_nv10_18,0.444,0.565,0.565,0.571,0.571
SIR01_sl250_mr15_nv10_19,0.667,0.8,0.8,0.8,0.8
SIR01_sl250_mr15_nv10_2,0.6,0.6,0.6,0.667,0.667
SIR01_sl250_mr15_nv10_20,0.5,0.5,0.533,0.429,0.429
SIR01_sl250_mr15_nv10_3,0.72,0.645,0.667,0.714,0.72
SIR01_sl250_mr15_nv10_4,0.522,0.56,0.48,0.5,0.522
SIR01_sl250_mr15_nv10_5,0.625,0.842,0.842,0.842,0.842
SIR01_sl250_mr15_nv10_6,0.423,0.473,0.489,0.442,0.442
SIR01_sl250_mr15_nv10_7,0.606,0.659,0.643,0.64,0.676
SIR01_sl250_mr15_nv10_8,0.333,0.556,0.667,0.533,0.533
SIR01_sl250_mr15_nv10_9,0.471,0.333,0.4,0.444,0.444
SIR01_sl500_mr15_nv10_1,0.571,0.4,0.6,0.571,0.571
SIR01_sl500_mr15_nv10_10,0.4,0.538,0.538,0.538,0.5
SIR01_sl500_mr15_nv10_11,0.538,0.629,0.562,0.621,0.667
SIR01_sl500_mr15_nv10_12,0.545,0.571,0.571,0.545,0.545
SIR01_sl500_mr15_nv10_13,0.364,0.714,0.714,0.615,0.615
SIR01_sl500_mr15_nv10_14,0.613,0.615,0.595,0.6,0.618
SIR01_sl500_mr15_nv10_15,0.571,0.571,0.59,0.59,0.6
SIR01_sl500_mr15_nv10_16,0.75,0.8,0.8,0.8,0.8
SIR01_sl500_mr15_nv10_17,0.72,0.692,0.741,0.72,0.72
SIR01_sl500_mr15_nv10_18,0.585,0.6,0.64,0.636,0.636
SIR01_sl500_mr15_nv10_19,0.698,0.764,0.704,0.706,0.708
SIR01_sl500_mr15_nv10_2,0.703,0.698,0.698,0.714,0.714
SIR01_sl500_mr15_nv10_20,0.65,0.706,0.735,0.8,0.8
SIR01_sl500_mr15_nv10_3,0.645,0.769,0.769,0.769,0.706
SIR01_sl500_mr15_nv10_4,0.709,0.714,0.763,0.767,0.762
SIR01_sl500_mr15_nv10_5,0.642,0.654,0.648,0.717,0.697
SIR01_sl500_mr15_nv10_6,0.889,0.933,0.967,0.949,0.949
SIR01_sl500_mr15_nv10_7,0.615,0.8,0.875,0.8,0.8
SIR01_sl500_mr15_nv10_8,0.5,0.471,0.588,0.429,0.5
SIR01_sl500_mr15_nv10_9,0.568,0.61,0.626,0.647,0.646
