host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1
149,1400_to_1499,1449.5,10,10,1,1,0.3338585,0.3338585,0.42896900000000004,0.7415809999999999,0.4300430444444444,0.4300430444444444,0.3338585,0.3338585,0.42896900000000004,0.7415809999999999,0.4300430444444444,0.4300430444444444,1
157,1400_to_1499,1449.5,10,10,1,4,0.6095468,0.6095468,0.869421,1.362741,0.7566458222222222,0.7566458222222222,0.6095468,0.6095468,0.869421,1.362741,0.7566458222222222,0.7566458222222222,1
161,1400_to_1499,1449.5,10,10,1,1,0.2046669,0.2046669,0.203001,0.398797,0.21967468888888889,0.21967468888888889,0.2046669,0.2046669,0.203001,0.398797,0.21967468888888889,0.21967468888888889,1
169,1400_to_1499,1449.5,10,10,1,1,0.5311013,0.5311013,0.812049,1.059897,0.3796371777777778,0.3796371777777778,0.5311013,0.5311013,0.812049,1.059897,0.3796371777777778,0.3796371777777778,1
171,1400_to_1499,1449.5,10,10,1,2,1.4829420999999998,1.4829420999999998,1.5336679999999998,3.2062079999999997,2.109092511111111,2.109092511111111,1.4829420999999998,1.4829420999999998,1.5336679999999998,3.2062079999999997,2.109092511111111,2.109092511111111,1
184,1400_to_1499,1449.5,10,10,1,1,0.21368140000000002,0.21368140000000002,0.29285700000000003,0.45627700000000004,0.2773508,0.2773508,0.21368140000000002,0.21368140000000002,0.29285700000000003,0.45627700000000004,0.2773508,0.2773508,1
206,1400_to_1499,1449.5,10,10,1,3,1.6844989000000001,1.6844989000000001,1.9277950000000001,3.7680600000000006,2.608773488888889,2.608773488888889,1.6844989000000001,1.6844989000000001,1.9277950000000001,3.7680600000000006,2.608773488888889,2.608773488888889,1
219,1400_to_1499,1449.5,10,10,1,1,2.5600764,2.5600764,2.13814,5.428904,3.5641051555555556,3.5641051555555556,2.5600764,2.5600764,2.13814,5.428904,3.5641051555555556,3.5641051555555556,1
222,1400_to_1499,1449.5,10,10,1,1,0.11760790000000002,0.11760790000000002,0.126713,0.268442,0.16368873333333334,0.16368873333333334,0.11760790000000002,0.11760790000000002,0.126713,0.268442,0.16368873333333334,0.16368873333333334,1
227,1400_to_1499,1449.5,10,10,1,2,0.5653505,0.5653505,0.717247,1.0304170000000001,0.5851343777777778,0.5851343777777778,0.5653505,0.5653505,0.717247,1.0304170000000001,0.5851343777777778,0.5851343777777778,1
240,1400_to_1499,1449.5,10,10,1,4,0.6000684000000001,0.6000684000000001,0.732066,1.238133,0.7993191555555555,0.7993191555555555,0.6000684000000001,0.6000684000000001,0.732066,1.238133,0.7993191555555555,0.7993191555555555,1
246,1400_to_1499,1449.5,10,10,1,1,0.2651913,0.2651913,0.415127,0.5537289999999999,0.23380646666666668,0.23380646666666668,0.2651913,0.2651913,0.415127,0.5537289999999999,0.23380646666666668,0.23380646666666668,1
273,1400_to_1499,1449.5,10,10,1,1,0.521477,0.521477,0.54749,1.162377,0.6939168444444445,0.6939168444444445,0.521477,0.521477,0.54749,1.162377,0.6939168444444445,0.6939168444444445,1
