host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12,prop.gp.13,prop.gp.14,prop.gp.15,prop.gp.16,prop.gp.17,prop.gp.18,prop.gp.19,prop.gp.20
AI107,1700_to_1799,1749.5,15,15,8,13,0.15746773333333336,0.008536166666666666,0.28204300000000004,0.33681,0.17540127619047619,0.016587266666666666,0.15746773333333336,0.008536166666666666,0.28204300000000004,0.33681,0.17540127619047619,0.016587266666666666,0.4,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0
AI142,1700_to_1799,1749.5,7,7,5,7,0.018432571428571434,0.0070209999999999995,0.021716000000000003,0.04285800000000001,0.02445628571428572,0.014041999999999999,0.018432571428571434,0.0070209999999999995,0.021716000000000003,0.04285800000000001,0.02445628571428572,0.014041999999999999,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI201,1700_to_1799,1749.5,6,6,6,6,0.16923633333333335,0,0.278435,0.334125,0.1743114666666667,NA,0.16923633333333335,0,0.278435,0.334125,0.1743114666666667,NA,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI202,1700_to_1799,1749.5,5,5,3,5,0.007911000000000001,0.0035986666666666662,0.021720000000000003,0.032511,0.015819800000000002,0.007195333333333332,0.007911000000000001,0.0035986666666666662,0.021720000000000003,0.032511,0.015819800000000002,0.007195333333333332,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI240,1700_to_1799,1749.5,11,11,1,6,0.0032490909090909094,0.0032490909090909094,0.007187,0.017904,0.005719963636363637,0.005719963636363637,0.0032490909090909094,0.0032490909090909094,0.007187,0.017904,0.005719963636363637,0.005719963636363637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI283,1700_to_1799,1749.5,13,13,4,11,0.007051538461538462,0.003623499999999999,0.033649,0.048234,0.014007717948717949,0.007244785714285714,0.007051538461538462,0.003623499999999999,0.033649,0.048234,0.014007717948717949,0.007244785714285714,0.6153846153846154,0.23076923076923078,0.07692307692307693,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI001,1800_to_1899,1849.5,12,12,6,9,0.008452333333333334,0.006136285714285714,0.017989,0.035872,0.01587272727272727,0.01159057142857143,0.008452333333333334,0.006136285714285714,0.017989,0.035872,0.01587272727272727,0.01159057142857143,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI002,1800_to_1899,1849.5,18,18,11,17,0.05311816666666666,0.006465166666666667,0.061035,0.111707,0.053324411764705884,0.012924333333333333,0.05311816666666666,0.006465166666666667,0.061035,0.111707,0.053324411764705884,0.012924333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0,0,0,0,0,0,0,0,0
AI003,1800_to_1899,1849.5,8,8,4,7,0.121144875,3.7499999999999997e-6,0.22410200000000002,0.25692400000000004,0.14414982142857144,5.833333333333333e-6,0.121144875,3.7499999999999997e-6,0.22410200000000002,0.25692400000000004,0.14414982142857144,5.833333333333333e-6,0.5,0.25,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI004,1800_to_1899,1849.5,29,29,12,19,0.09637044827586203,0.012448000000000002,0.125772,0.281998,0.1315119458128079,0.022873238095238096,0.09637044827586203,0.012448000000000002,0.125772,0.281998,0.1315119458128079,0.022873238095238096,0.2413793103448276,0.1724137931034483,0.13793103448275862,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0,0,0,0,0,0,0,0
